Message,Category,
"
 Un ki biwi aur waldah Iqbal ka naam Imam Bibi tha.",ham,
"
Allama Iqbal ke walid Sheikh Noor Muhammad ki shadi moza sambaryal zila Sialkot ke aik Kashmiri gharane mein hoi thi.",ham,
"
Allama Iqbal ki waldah ka inteqal9 November 1914 k howa aur unhen Imam sahib ke qabrustan mein dafan kiya gaya.",ham,
        Aakhirkar is wusat-e-beyan ka intezam bhi khud bukhari sahib he ne kar diya aur 1962 mein Fazal Ahmed Kareem Fazli ki film â€œ Chiragh Jalta Raha â€ mein Mohammed Ali ko kaam dilwaya,ham,
"        Aala taleem ke liye Cambridge gae to angrezi sheyr-o-adab ko is ke asal mahaul mein janchne, parakhne ka mauqa mila",ham,
"        In ki shaiyri amooman Romani, Mazhabi, Mili aur takhliqat-e-qudrat ke mauzoo par hai",ham,
        Lekin is tarha ke kitne waqeaat honge jo manzar-e-aam par to nahi aae magar marhoom ko Jawar-e-rehmat mein jagah dene ki sifarish zaroor kar rahe honge,ham,
"        Question: Guzishta arse Deal Stain ne musalsal kai bar aap ko out kiya, is ki kiya wajah samajhte hian?",ham,
"        Question: Guzishta dinon IPL ki nilami mein khilariyon ki bhari roqom ke ewaz farokht hoi, kia is ka hissa na ban kar afsos howa?",ham,
"        RAJNI KANT, KAMAL HASAN samet both se namwar funkaart Telugu aur Tamil filmon ke zariey bollywood mein aye, gulookari bhi jaari Rakhungi",ham,
        Retire hone ka bawajud cricket  se Javed Miandad ka taluq toota nahi 2008 se 1999 mein unhone ne Pakistan team ki coching ki aur aj kal Pakistan cricket board ka director general ka tour per khidmat unjam de rahe hain,ham,
"        Shad-e-Azeem abaadi ko khiraj-e-aqeedat pesh karte hue unho ne shad ki mashoor ghazal �EEE€�EEEKhilone De Kar Behlaya Gaya Hoon �EEE€�EEE ki zameen main bhi ek ghazal sunai thi, jis ka maqtaa tha",ham,
       ab ham Nadeem key nam se jantey haien to keya Nadeem ki dastan  e hayat dilchasp nahein hay?Yaqinan yeh dono kahanyan jaddo jahad aur kamyabi ki azeem misalein haien jabkey Waheed Murad ko na to studio pahochney key leyeh kabhi bason aur rekshon mein dhakkey khaney parey aur na hi mangney key leyeh directron key der peyhazri deni pari woh to soney ka chamcha  munh mein ley ker paida huey they aur apnay walid ki badaulat bees baras ki umer mein hi filmon key taqseem kar bun chukey they,ham,
"   16 August 2006 ko Bilquis Edhi aur kubra Edhi ki janib say Edhi international ambulance kay qayam kiya gaya jis kay tehat duniya kay ameer gareeb ho ya diniya ka koi bhi mulk America,Uk, Israel, Shaam, Iran Bharat, Bangladesh hon, mein ye ambulance batour atiya di jarahi hain aur inhein hidiyat ki gaye hai kay woh ye ambulances ko 5 saal tak istemal karne kay baad frokht kar kay iss ki raqam kherati kaamo mein istemal karein.",ham,
   Abdul Bari uss waqt ke behtareen khelari mane jate they jinhein drop short lagane mein khasi maharet hasil thi lakin Hashim ke samne hetyar dalne pare amm khelari Abdul Bari ke drop short ka jawab dene sey qasir tha lakin Hashim ne apne pehle hi drop short ko flap ker deya,ham,
   Hn apni taraf se ques deta tha,ham,
   Miandad ka akhri match world cup 1996 ka quarter final tha,ham,
  .khas tor pr CHEMISTRY N PHYSICS K MCQS,ham,
  1930 mein district board larhkana ke member muntakhib hue,ham,
  6th December ko Major Muhammad  Akram Shaheed ke jasd e khaki ko Hili se Bogra lejaya gaya aur mashriqi Pakistan mein supurd e khak kar diya gaya,ham,
"  Aftab jawed British Amateur o Champion ship jeetne mein kai martaba kamyab rahe balke unhon ne to yeh title teen sal laga tar jeeta 1964,1965,1966 mein yeh title jeet ker British Amateur Champion ship ki 44 sala tareekh mein woh teesre khelari they jinhein hat trick ka ajaz hasil hua",ham,
